<Hash=0xB412CAF>	One of us... One of us...
<Hash=0x1B962A70>	Well I'm not going to just sit around like a potted plant.
<Hash=0x69846B5F>	Thanks, <name>! I'm thrilled to get to show you what I'm made of!
<Hash=0xA1716EBF>	I'm sure it'll grow on you, but mine is bound to thrill from the start!
<Hash=0x9C7166E0>	With my speed, I'm sure to get there quickly.
<Hash=0xAA717CEA>	Alright, Iris... I'll even give you a head start.
<Hash=0xE229CF98>	UHHH-mazing! Thank you! Oh, and please don't tell anyone I asked you to do this.
<Hash=0x641C65E1>	It's freaky-fab, right?
<Hash=0x3D19E9E5>	I wish my seedlings had a little more opportunity for growth.
<Hash=0x3926AF8C>	Hm, that gives me an idea. <name>, can I talk to you for a sec?
<Hash=0x55249D09>	I've heard that Mr. Hackington can make potions that do all kinds of things. Could you ask him if there's something he could make for my plant?
<Hash=0x61292D1B>	Clawsome, you're the beast!
<Hash=0x5E6559DE>	Um, how gentle exactly? And shouldn't we tell someone about this.
<Hash=0x5C6556B8>	<name>... Could you go after her? Make sure she's not doing anything crazy?
<Hash=0xFA6ACCA0>	Well, uh... heh, what do you mean Jane? Unnatural? You're being silly... heh.
<Hash=0x236D4BC2>	Magnificent!?! That thing looks like it could swallow a ghost pirate ship whole!
<Hash=0x24977F3F>	Hey Ghoul, what happened to Venus?
<Hash=0x209778F3>	And she used her power on Rochelle? Oh, fear. We're going to have to talk to Venus about this.
<Hash=0xF9EAC583>	I dunno, Venus... She makes a good point.
<Hash=0x3EAD541>	She's got that wild look in her eye. <name>, please follow her and make sure she doesn't wilt on the vine?
<Hash=0xF6D48551>	<name>, you're here! Let's get started. Venus, we need to talk.
<Hash=0xF18DF7B3>	You NEED to fix this.
<Hash=0xF28DF946>	Iris is right. Venus, you just made a mistake. It's not a big deal, just go in there and talk to them. You know the monsters at this school always appreciate honesty.
<Hash=0x8686937D>	As for this plant... it looks to be somewhat docile. I'd say it's pretty harmless.
<Hash=0x78867D73>	Yeah, it can stay.
<Hash=0xF8D48877>	That doesn't matter! You can't use your pollen on other monsters!
<Hash=0xF9442AD5>	Hm? The ghouls want my help with their plants, do they? Well I just happen to know a great growth formula. But I'm short on Eye of Newt. Bring me some and I'll make the potion.
<Hash=0xF8442942>	Ah, there you are. I finished with the rest of it. Just need the Eye of Newt.
<Hash=0xF74427AF>	There we are! One growth formula. That bottle should be good for about 20-30 plants. Don't overdo it now.
<Hash=0xFE381108>	Oh, that is so scary-cool!
<Hash=0xDD587634>	We're building a robot!
<Hash=0x6BBE86B8>	Woo! Look at those arms go!
<Hash=0xB447615>	Could these arms shoot a casketball?
<Hash=0xAF0EA965>	There you are. Did you find the power cells?
<Hash=0x16B5DCB>	Can we get the robot working without power cells?
<Hash=0x3203A39E>	Hey, <name>	got the memory chips!
<Hash=0x2A039706>	Oh, so it needs to learn everything from scratch?
<Hash=0xA7F20574>	Give it some sweet threads and a name!
<Hash=0xB65739CC>	<robotname>	is on fire!
<Hash=0x434FC8FE>	Well why don't you try it out <robotname>?
<Hash=0xCB52DDAD>	Free to be. You can do whatever you want.
<Hash=0xC852D8F4>	Well, let's not forget that it wouldn't have happened without <name>.
<Hash=0x27A2869>	<name>	is <name>. It's her name.
<Hash=0xB0C64989>	Me too. First time you told the joke, I couldn't believe it was you that was saying it.
<Hash=0x75953DD>	That was Clawsome Elissabat! Purpose and Unlife are important to me too!
<Hash=0x4594F24>	Well done, Elissabat! Little shaky, but we enjoyed it.
<Hash=0x55950B7>	I've never thought so much about breakfast before. Now I'm hungry.
<Hash=0xD76658AF>	HEEEEEEEY, <name>! What brings you to my party?
<Hash=0xD666571C>	They want to use Slomix on the runway? That's the second time I've heard that this week! They're welcome to use the song, but it's not free of charge. I'll need front row seats to the fashion show. I said the same thing to Scorchio, and guess where I'm going to be this Friday night!
<Hash=0x73F960C2>	Boogey what? Oh, that funny sand that Twyla keeps in her locker! Yeah, it's right here!
<Hash=0x37C27884>	Well HEEEEEEEYYYY <name>! What can I do for ya?
<Hash=0x35C2755E>	And you think Sloman could be the new sound I'm lookin' for? Well AALLLLLLRIGHT! I've gotta check this out! Thanks for the heads up.
<Hash=0x34C273CB>	Hey there you are <name>. What's UUUUUUPPPPP!? OK so I got a sample sound from Sloman and wrote this song up last night. I'm calling it Slomix. I'm gonna give you a sneak preview, because you put me on to Sloman. Have a listen.
<Hash=0x33C27238>	So what did you think?
<Hash=0xC8157209>	YYEAAAAAHHHH! Alright! I'm going to release this bad boy today. I can't wait to see the reaction to this!
<Hash=0xC5156D50>	Huh!? You don't know what you're talking about. I'm releasing this song today, and then we'll see how people feel about it!
<Hash=0xF5AC38D1>	Excuse me, <name>. Could you get the plant food from the Biteology Room so this whole mess stops creating such a stink?
<Hash=0x6218ACFE>	Thanks!
<Hash=0x6118AB6B>	Oh, I understand. But, please come back later. We'd love to see you in your element!
<Hash=0x7E09CE88>	Fangtastic. I can't wait to show you my bootiful creations. Thanks <name>!
<Hash=0x63B9EC4E>	It's just a seedling now, but I'll bet it's going to be bootiful once it's fully-grown.
<Hash=0x66B9F107>	Good thing I know exactly where to find some.
<Hash=0x5AB9DE23>	I'm all about keeping your eye on the prize, but I don't think a race is a good idea. You're all steamed up, and that's how accidents happen.
<Hash=0x8CDCF2FB>	Awesome you got it! Thank you so much. Please don't tell anyone I asked you for this.
<Hash=0xA940C052>	My garden would have blossomed bootifully if I had just had that plant food.
<Hash=0xC03EA5F0>	Your plant is just as lovely, Gilda... even if it has a bit more growing to do.
<Hash=0xB33A144B>	Hm, that gives me an idea. <name>, can I talk to you for a sec?
<Hash=0xD13671EE>	Hey, look I've heard that Mr. Hackington can brew a potion that can help plants grow really quickly. Could you ask him to make me one?
<Hash=0xC131DB90>	Thanks, ghoul! Come back when you're done.
<Hash=0xB868FD45>	It's just... so big!
<Hash=0xB168F240>	What type of plant is it?
<Hash=0xBF69084A>	Wait... did you say Carnivorous?
<Hash=0xF7AD829B>	What's that?
<Hash=0xF2AD7ABC>	Yeah, but let's do it tomorrow when we're all together. <name>, you should come too. You are the witness after all.
<Hash=0xB9333E59>	But, sweetie couldn't the plant harm someone?
<Hash=0x7E50CDCF>	You could march in there, look them in the eye and tell them exactly what happened.
<Hash=0x38BB9B8D>	Well, we found out about your chat with Rochelle.
<Hash=0x2EBB8BCF>	You could get Rochelle into a lot of trouble with the Newspaper Club.
<Hash=0xFDB67555>	<sob>... It's not fair, I don't even know who... <incoherent sobbing>... And he doesn't even... <incoherent sobbing>
<Hash=0xFBB6722F>	<sob>... yeah, I'm ok...
<Hash=0xF9B66F09>	Ther.... there is?... <sob>... How?
<Hash=0xF7B66BE3>	Well, I don't know... that might be a bad idea. <name>, what do you think?
<Hash=0x8A4DEF64>	Alright... I'll do it. Meowlody, let's go.
<Hash=0x4B6805A>	So what does it say Meowlody!?
<Hash=0x2E6F9FDA>	It looks like a note... and it smells nice! Let me read that!
<Hash=0x1B8BA38>	Oooh no!! Not Catty! She's so talented, and purrfect. How am I supposed to compete with... <incoherent sobbing>.
<Hash=0x7B8C3AA>	You're right! Let's find him.
<Hash=0x8B8C53D>	So you swear to me that you and Catty aren't a thing?
<Hash=0x6B8C217>	I saw the note in your locker... with my own eye!
<Hash=0xFBB8B0C6>	Catty, how could you? Manny is my boofriend!
<Hash=0x9BB0567>	Don't play dumb with me! I know it was you that put the note in Manny's locker! You stay away!
<Hash=0xBBB088D>	But we did the test, and it was a werecat!
<Hash=0x5BAFF1B>	Meowlody and I did.... <gasp>	Meowlody! It was her all along!
<Hash=0x4BAFD88>	YOU!!!
<Hash=0x6BB00AE>	It's not funny! Why are you laughing!
<Hash=0xBAF73C>	I think about you like that! No one else is allowed to.
<Hash=0x286F9668>	"Dear Darling Manny"... Manny, what is this?
<Hash=0xA9AE1B>	Maybe you're right. I should leave Meowlody alone. Sorry for doubting you, Manny. I didn't mean to.
<Hash=0x2A6F998E>	"Everytime I catch your gaze..." Manny no!
<Hash=0x246F901C>	Because you're getting <sobbing>... letters from... <sobbing>
<Hash=0x10BF204E>	Hopefully this is just a phase. He's usually really nice, but these jokes are just rude.
<Hash=0xB6D53C05>	I don't really find it all that funny. Also, please don't ask me that because I'm half-normie. There are a lot of ways to be a normie, and not all of them are going to find it funny.
<Hash=0x240BCAA0>	Maybe she's here to save the day!
<Hash=0xF1D54FC8>	The plant food is in the Biteology Room.
<Hash=0xFEAE6CCB>	Look at the size of it!
<Hash=0x85261909>	Something about this... Well, it doesn't look natural.
<Hash=0x8A2620E8>	That sounds rather unfriendly. Should we be afraid of being eaten?
<Hash=0xC648F55>	Some plant monsters have the ability to control the minds of others using pollen.
<Hash=0x2AC160FA>	I would certainly agree with that.
<Hash=0x44115CB2>	And did you learn your lesson?
<Hash=0x2E9A6FD2>	<name>	saw you using your pollen on Rochelle. We know everything, ghoul.
<Hash=0x7B5718C6>	I am so fired up! The Cooking Club said they'd make our treats, but they haven't even started. You're friends with them... can you please help me out?
<Hash=0xE6BFD65D>	On my honor, it is the hottest color this season and will be the talking point of the Fashion Show!
<Hash=0xA7FE85B8>	I cannot believe I have failed.
<Hash=0xA9FE88DE>	Alright, there's certainly honor in that challenge.
<Hash=0x1CF6EF22>	I am honored for this chance.
<Hash=0xE2BFD011>	I am not sure there is much harmony in your color palettes, Skelita.
<Hash=0xE0BFCCEB>	My intention is not to sting, but only to breathe fire into the perfect show.
<Hash=0xDEBFC9C5>	I think it may be getting a little too hot in here...
<Hash=0x12ABD318>	Thank you so much for coming, <name>. We need your keen eye for such a task.
<Hash=0x8F7D6CB1>	I boolieve it is now my turn, if you don't mind, ghouls.
<Hash=0x907D6E44>	Such breathtaking beauty!
<Hash=0x847D5B60>	Are you sure? Is there nothing you like about my work?
<Hash=0xFE84D733>	P... Personal? I am sorry ghouls, but I need time to think about all of this.
<Hash=0x6FD35CF3>	... please leave me be.
<Hash=0xCCBB06F9>	.....
<Hash=0xCABB03D3>	That song really fires me up... and not in a good way.
<Hash=0xD0BB0D45>	No... Why would I... Oh... I understand. It's not me that you did not like... It was just the dress.
<Hash=0xCEBB0A1F>	Ghouls, I am so sorry to have wasted so much time on this.
<Hash=0xD4BB1391>	I know that now.
<Hash=0x70D35E86>	Wait... You never said what you think of my dress.
<Hash=0x52BE1882>	And we should get back to it as we do not have much time! The fashion show is just days away!
<Hash=0x53BE1A15>	I am so thankful to my understanding ghoulfriends for all that they have taught me today.
<Hash=0x8FC2F5B7>	You do? Well then why were the other ghouls so displeased?
<Hash=0x90C2F74A>	It is just as I thought. Everyone is displeased.
<Hash=0x9BC785C9>	I wish these ghouls could understand my vision!
<Hash=0x98C78110>	What's that supposed to mean?
<Hash=0x76D367F8>	.....
<Hash=0x2421BB21>	Freaky-fierce idea, <name>!
<Hash=0xB13D0D74>	That is too bad.
<Hash=0xF40DE7D9>	You're the beast, <name>.
<Hash=0xF10DE320>	OK, maybe you could help us out another time.
<Hash=0xAC3D0595>	Thanks for this. I know you have to call in your favor with Deuce, but it'll be worth it!
<Hash=0xBD39F37B>	Let's heat things up, ghouls, today is going to be wild!
<Hash=0xC039F834>	What about a table of scary-sweet treats?
<Hash=0x83E3DD7A>	Once everyone tells <name>	where they were at lunch, we can move on to fixing the fashion show.
<Hash=0x76E3C903>	Skelita and I were in the Foyer the entire time. Go ahead and ask. She will tell you.
<Hash=0x97237C30>	Skelita... What is wrong?
<Hash=0x58AF966A>	Please believe me. I was not involved.
<Hash=0x73DF471C>	These things happen sometimes. It's important to move forward though, and not get caught up in the blame game.
<Hash=0x9D2385A2>	Me? No! I could never do such a horrific thing.
<Hash=0x9C23840F>	I wish I knew. Skelita, what can I do to help?
<Hash=0x4D65B974>	Holt can have his front row seats, but he should be warned... this show will be scorching hot!
<Hash=0xEA8A1C2A>	I'm just not the biggest fan.
<Hash=0xE18A0DFF>	It still sort of rubs me the wrong way... But you're right, we should use Slomix.
<Hash=0xA2664697>	It's all we have left. <name>, please ask the Robot to help.
<Hash=0x9B663B92>	It sure did. Your mom would be proud.
<Hash=0xC6B0DAF2>	OK, so we forgot one minor detail...
<Hash=0x8B6860F9>	Thanks Skelita, I got all of my inspiration from you. It's easy to confuse feedback with criticism. Although, I think we all owe <name>	a huge thank you.
<Hash=0x8F686745>	I think I'm going to take a break from the stress of Fashion Club and relax for a bit. Perhaps start a Zen garden in Environmental Club.
<Hash=0xE402F711>	Agreed! So, everyone, we need intel. Do your best not to get caught and listen out for any clues about the cursed plan.
<Hash=0xE702FBCA>	Good, we'll spend the rest of the day gathering intel on the cursed and Spookenkhamun's master plan... Well, I guess that's it for now. Be careful! Tomorrow, we'll meet back here at the Library, same time, and we'll use the info collected to create the best plan possible...
<Hash=0xE502F8A4>	So, I was thinking we should try to infiltrate tomorrow's Council meeting, to see if the cursed members will open up and let something important slip.
<Hash=0x4C940C85>	Cool! OK, meet me near the back entrance to Ectonomics tomorrow morning and we'll sneak in.
<Hash=0x499407CC>	That's true, but you know what... doing nothing is a bigger risk. Come on, meet me outside Ectonomics. We'll be in and out in no time.
<Hash=0xF0C824ED>	If we're gonna do something like that, our timing has to be just right, so we catch 'Spook 'Em' off guard. We'd need the element of surprise!!!
<Hash=0x6FDD9553>	You made it! I was starting to worry that I'd have to be in here by myself! Come on, hide quickly, here they come!
<Hash=0x76CFE2D0>	I can't believe it! Now there's no doubt that the curse is real and Spookenkhamun is trying to take control of Monster High. The rally at lunch will be the perfect time to find out exactly what he's planning! Whaddya think?
<Hash=0x78CFE5F6>	Do you have any better ideas? Didn't think so... The fact is, this is the only move we have left! At least they won't be expecting us to do something as crazy as infiltrating a room jam-packed with cursed students!
<Hash=0x79CFE789>	OK. So at lunch we inflitrate the Cursed Rally, and find out Spookenkhamun's master plan. It'll be a piece of cake... I mean, what could possibly go wrong?
<Hash=0x7ACFE91C>	That rally is our best chance at finding out the cursed plan! We need to know so we can take care of this curse once and for all!
<Hash=0x40772E05>	Alright, we're all set to go. While we're in there, we should take up different positions. That way if they catch one of us, the other will be OK.
<Hash=0xB09DBD6F>	OK, I'll go in now. You should wait a minute and then follow me in. We don't want to arouse suspicion. We'll meet back at the Library afterward.
<Hash=0x419652ED>	Hey, there you are. I just told everyone what happened. Did you have any troubles getting out of the Clawditorium?
<Hash=0x3B96497B>	OH NOOOOO!!! She's been cursed!!
<Hash=0x3C964B0E>	GHOUL!!! THAT'S NOT FUNNY!!!
<Hash=0x3E772ADF>	Are you ready?
<Hash=0x3E988CCB>	Look, why don't we just kick this Spook'em's you-know-what'em?! I can't even talk reason to Cleo anymore, she's a completely different monster!

The same with all the cursed students. It's light's on, nobody's home! We've really gotta stop this crazy Pharaoh and save our friends!
<Hash=0x3D988B38>	We can do this!!! We've gotta save the school 'coz no one else will!
<Hash=0x3C7727B9>	OK, well take your time and let me know when you are.
<Hash=0x63506DAA>	So everyone, it looks like we all came up with more than a few ideas that may help us out of this sticky sitch. Anyone want to get the ball rolling? Sure Deuce, go ahead...
<Hash=0xF29C8B01>	Hm, considering Cleo is at the middle of all this, maybe we just need to distract her long enough to get that amulet out of her hands!
<Hash=0xF49C8E27>	Awesome stuff, I'll join too... always wanted to give Fearleading a crack! Guess, this is my chance. You know what? I think this is actually gonna work!

We'll need a second team to stick close to Cleo, and grab that amulet when she's distracted.
<Hash=0xEA9C7E69>	Then let's get to it! There's not much time and tons of preparation...

Fearleaders, we need to talk. We're gonna need practice. Lot's of it! But we can't use the gym at LUNCH, because Cleo and her Cursed Team will be there. The only option is to train at MORNING and AFTERNOON!
<Hash=0xEA9A3FD2>	No time, like the present ghouls! Let's meet at the Casketball Court. I'll meet you guys there!
<Hash=0xE79A3B19>	Finally, a chance to try out fearleading! It's fun too! Too bad it actually took a curse to make me do it...
<Hash=0x61506A84>	That'll work nicely, anyone else got something to add? Frankie?
<Hash=0x5F50675E>	That sounds really promising, Frankie. Thanks! Does anyone else have any ideas on how to reverse Spookenkhamun's curse?
<Hash=0x5E5065CB>	Look at this point, even the craziest of ideas count! Anyone?! Yeah, Catty let's hear it!
<Hash=0xC80AF01F>	Hey, we've just hit a bit of a snag. Frankie just reminded us that to enter the Fearleading Nationals, we need to pay the $500 entrance fee!
<Hash=0x183819FD>	No time for doubt! Now it's do or die!!!
<Hash=0xF380BD2>	You really do have school spirit Ghoul! While you infiltrate the Council to snatch the cash, we'll keep practicing harder than ever. Meet us back here once you're done...
<Hash=0xFE3A2FA6>	New Ghoul! You're back already, and you brought the cash!
<Hash=0xFF3A3139>	Awesome! This is exactly what we need. Catty, take this money and fill in the Entry Form for the Fearleading Monster Nationals. Then stick both of them in an envelope and send it ASAP!!!
<Hash=0xFD3A2E13>	Well, there's nothing more we can do, other than practice. So let's give the routine another run through and we'll call it a day...
<Hash=0x23A35F2>	How'd it go, Catty?
<Hash=0x3A32CC>	Excellent! Good work everyone, let's call it a day! We only have tomorrow to practice, then we perform live at the Monster Nationals. Get some rest, you're gonna need it!
<Hash=0x63A3C3E>	Things are really coming together! We can do this!!!
<Hash=0xCA0AF345>	Anyone have any bright ideas?
<Hash=0xC40AE9D3>	Oh my! Why, didn't I think of that before?! The extra funds that the Council raised. They were gonna use it for a hot tub, but with everything that's been happening it hasn't been built yet. That means the money is somewhere in Ectonomics! All we have to do is go and get it...
<Hash=0x4E2DE1A3>	Now you're just being silly. Wait, I have a great idea. The Council got some extra funds that they haven't spent yet! We could sneak into Ectonomics and get it before the cursed students realize!
<Hash=0xC60AECF9>	The New Ghoul and I were both on the council, and know where the money is. But, I need to keep practicing this routine!
<Hash=0xCF0AFB24>	New Ghoul, can you go and get the money from Ectonomics?
<Hash=0xEAE42FC4>	This is it ghouls! The day of the Monster Nationals and our last chance to train. Let's make this practice a good one. We all know what we have to do.
<Hash=0xEDE4347D>	Great work mates!!! With moves like these, I think we might have a shot at defeating Cleo and her cursed fearleaders at their own game...
<Hash=0xE7E42B0B>	I wouldn't say it, if I didn't!
<Hash=0xE9E42E31>	Well we're past the point of no return now. We know the routine back to front, now all we can do is perform it with every ounce of school spirit we can muster.

Before we break though, I'd just like to say, that no matter what happens tonight, I'm so proud of you all!
<Hash=0xE3E424BF>	Take your time enjoying lunch. You're all gonna need every ounce of strength after school when we compete in the Monster Nationals. Good luck, I'll see you all at the competition!
<Hash=0xF1F46E6E>	Let's do it ghouls! 1, 2, 3... GO!!!
<Hash=0x7001AFF7>	Hey, I'm glad you came! Come on over and I'll introduce you to the rest of the Student Council...
<Hash=0x19A7B645>	(surprise) Wow! Thanks Toralei. That's a huge responsibility.
<Hash=0x7101B18A>	Don't be shy! The members of the Student Council don't bite... much. (laughs)... Anyhoo, you've already met me, and here's the rest of the team...
<Hash=0xF4AD8C34>	So, this is Abbey. She's the Council's Treasurer.
<Hash=0xEC9C367B>	This is Spectra, the Gory Gazette blogger herself. But, of course, you've already met.
<Hash=0xD09E48FE>	This is Catrine. She's originally from Scaris, France. Trust me, once you get to know her, she's a real scream!!!
<Hash=0xF8A0C68D>	Now, this rockin' werecat is our fearless leader Toralei, the President of the Student Council.
<Hash=0xF6A0C367>	(whispered) Look, to be honest, Toralei can be a bit of a mean-ghoul at times, but don't totally believe her rep. Underneath that catty exterior, is a soft spot for ghouls in need.
<Hash=0x6E01ACD1>	Well, that's it for the intros. As you can see, we've got a pretty diverse group here and I'm sure you'll fit right in. Hey Toralei, wanna get this Council meeting rolling? We haven't got all day...
<Hash=0x13E5BEA>	OK everyone, maybe we should all get some rest! It's been a hectic week and we've all earned some down time. On Toralei's behalf, this meeting is adjourned. We'll catch up with everything tomorrow, hopefully Toralei will be feeling better then...
<Hash=0x23E5D7D>	Gee, I hope everything's alright with Toralei. She really didn't sound good!
<Hash=0xFDD2DA32>	Abbey's right Toralei. Taking that money is what's called corruption. It's just like stealing. Don't forget, we weren't the only ones involved in making the Bake Sale a success. The Cooking Club spent heaps time baking the cookies and the students gave us their support by buying them. It's their money, as much as ours!
<Hash=0xFCD2D89F>	Toralei, please don't do this! We've only just earned the students' trust by making those improvements to the school. If anyone found out, it would spell doom for the Student Council!
<Hash=0xFAD2D579>	Toralei, the Council is a democracy. We should all have a say. At the very least, put it to a vote!!!
<Hash=0xF8D2D253>	TOORRAALLEEIII?!!
<Hash=0xA92D1567>	(whispered) I've got a bad feeling about this...
<Hash=0xA8F897F5>	WHAAATT?!!!
<Hash=0xA3F89016>	Come on ghoul-friend, let's go! We'll get to the bottom of this, you'll see!
<Hash=0xA2F88E83>	What just happened?!
<Hash=0x836B9F84>	It sure is! I've got ghostbumps, on my ghostbumps!!!
<Hash=0x866BA43D>	Totally! Any minute I'm expecting the guys in the white suits to appear and chase the students with a huge net!!!
<Hash=0xAFF8A2FA>	How about we meet up tomorrow at the Pool? Until then, be very careful and stay safe...
<Hash=0xA42D0D88>	Oh no! Not you too, Abbey...
<Hash=0xA62D10AE>	I can't believe what I'm seeing...
<Hash=0x2CA4BCEC>	Yesterday was a total nightmare, dontcha think? It was like everyone lost their minds... Or some monster TOOK OVER everyone's minds!
<Hash=0x23554E54>	That's totally bonkers!!! Next you'll be telling me there's a killer Mummy on the rampage... Ummm, there isn't, is there? Ugh... this is doin' my head in! Do you really think it's all true?!
<Hash=0x2555517A>	Noticed Cleo lately?
<Hash=0x1F554808>	She's at the centre it all!
<Hash=0x21554B2E>	Not to mention, she never goes anywhere without that amulet anymore and crazy seems to follow her. It's like she's obsessed with the thing!
<Hash=0x1B5541BC>	Nooo... Why do you say that?
<Hash=0x955CBD8F>	I wouldn't worry about it Catty. It's more likely to be something connected to Cleo and her amulet.
<Hash=0x975CC0B5>	So, what's our next move?
<Hash=0xF6F44A86>	That's a great idea, the more allies we have, the safer we'll be. Safety in numbers and all that. We should all head out and find at least 2 un-cursed students each, people we can really trust. Then we should get everyone to meet at the Library, so that we can work out our next move.
<Hash=0xF5F448F3>	Goulia is getting into the research at the moment. Maybe she'll find something that can help us out.
<Hash=0x925CB8D6>	Oh my, ghoul... that's really bad! It's too late for the Headmistress. Her only hope and that of Monster High, is for us to find any un-cursed students that can band together to fight back!
<Hash=0x9C5CC894>	Gotta find un-cused allies if we hope to save the school!
<Hash=0x29A4B833>	Yeah, it's like the whole Council are completely different people now! And what's with all that kooky Egyptian stuff, they keep babbling about?
<Hash=0x2BA4BB59>	There's an Egyptian Curse at Monster High. How do you know this?
<Hash=0x35A4CB17>	So Ghoulia's researching this thing called the Curse of Spookenkhamun?!
<Hash=0xE77FB123>	Don't you think the Students would have a problem with that?
<Hash=0xEA7FB5DC>	What about a Bake Sale? Students love cookies, so we'd be sure to sell tons of 'em!
<Hash=0x42B18748>	Well, after talking to the Council Members and compiling their notes, it seems that it was a ghoulish success!
<Hash=0x7778450E>	Great! It turns out that Posting Flyers is still one of the best ways to get the word out and capture Student attention. My recommendation would be that the Council Post Flyers to build Student awareness about the Bake Sale.
<Hash=0x79784834>	Already done! I spoke to Lorna at the Student Newspaper, who was happy to help out. She got her designers to make up the flyer, while Headmistress Bloodgood allowed me to use the photocopy facilities in the Office. She even gave me a bunch of spooky-tape from the store room...
<Hash=0x7C784CED>	Everything seems to be going well and Toralei hasn't had a hissy-fit yet... It's almost too good to be true.
<Hash=0x46B18D94>	Sure did! I even put them in order of priority. The big Student issues that need to be resolved by the Council are:

1 - Nearly everyone wanted a big screen TV in the Creepateria so they could watch Ever After High while eating.

2 - The Creepateria Chairs are all grunged up and fiendishly uncomforable.

3 - Most of the Vending Machines at Monster High don't work and the one's that do need to be re-stocked.

4 - The Casketball Scoreboard doesn't work properly and might even pose a danger to the Students.

5 - The Casketball Court is rundown and needs a total overhall. New rings, nets, backboards, lines...
<Hash=0x9F9BDE36>	OK, let's get to it ghouls!
<Hash=0x1B24351E>	Listen up, everyone! This is how it's gonna go down. We calculated the highest student traffic areas in the school and each of you has been assigned an area. The name of the game is to sell as many cookies as possible. Any questions? Yes, Spectra.
<Hash=0x1D243844>	No Spectra! The cookies aren't for us. We're selling them to raise funds so we can fix things around Monster High. Remember? Now stop messing about and let me go over everyone's positions...
<Hash=0x1F243B6A>	OK! So to make things easier I've uploaded each of your fundraising locations to your iCoffin MAPPs. Just follow the glowing icon to your designated area and you'll find everything that you'll need to sell cookies. Any questions?
<Hash=0x2BD49A73>	They're already done! I figured that since the first Fundraiser was such a big success, I'd hop onto designing the flyers for the next one. Since we had a prioritized list of projects, I already knew it would be for a Casketball Court re-vamp.
<Hash=0xECD40ADC>	Sure do! While it's still early days, initial buzz around Monster High is that the Student Council are all legends. The students are lovin' the new Creepateria, especially the TV so they can watch while they eat. Support for the Council has never been higher!
<Hash=0xEAD407B6>	That would be the Casketball Scoreboard. Apparently, it's in bad shape and possibly bordering on the dangerous! In fact, the whole Casketball Court could use a make-over. It's actually embarrassing when schools visit for Home games!
<Hash=0x9DDEE6CD>	Walking through the corridors this morning, it's obvious that people are really excited! The students I spoke to love the idea of eating cookies and at the same time improving Monster High. It's a win, win situation, for all of us!!!
<Hash=0x7867D342>	Listen up, people! Looking at the student movements from the last fundraiser, we've improved the positioning of the Cookie re-stocking points. Once again each of you has been assigned a specific area. You know the deal. Sell as many cookies as is monsterly possible. Any questions? Yes, Catrine.
<Hash=0x7367CB63>	You've gotta be joking ghouls!!! NO!!! That's enough! No one's getting any cookies. They're strictly for the sale so we can raise money to fix-up the Casketball Court. Remember?! Now stop being silly and let's get on with it!
<Hash=0x7E67DCB4>	Once again, I've uploaded each of your selling locations to your iCoffin MAPPs. Find your way to the glowing icon and you'll be in position.
<Hash=0xE5638546>	It's Clawsome to meet you! I just love chatting about the work we do on the Council. Joining the Student Council is one of the few ways that you can really make a difference at Monster High. I know I'm a bit biased, but I think you'd make a great member of the team. It looks like you've got a good head on your shoulders and you'd be doing something that could really change the school for the better.

If you wanna leave your mark on Monster High and help the students while doing so, there's no better way than the Student Council. Who knows, with a bit of hard work, you could even become Student Disembodied President. So whaddya say, you want to sign up?
<Hash=0xE3638220>	That's totally clawsome! I see big things for you in the future. Together, we'll help make Monster High a better place for all of the students. Congratulations, you're now officially a member of the Student Council!!!

Look, there's a meeting starting in about ten minutes. Why don't you come by and check it out for yourself. I've updated your iCoffin MAPP with the location. I've gotta jet, but I'll meet you there. See ya...
<Hash=0xFC2C3E5E>	Oh, that normie joke he keeps telling? I think it's dumb to be honest.
<Hash=0xFE2C4184>	And you asked him not to tell those jokes?
<Hash=0x2C44AA>	Gil, stand aside... Howleen's on the case.
<Hash=0xF22C2EA0>	I don't care if your cousin thinks it's funny Manny! I really don't. You just can't bring those types of jokes to school, OK? Some people get really offended by them!
<Hash=0x7033B0BF>	Oh, no! Poor guy got upset and ran for it... straight into the Janitor's Closet. <name>, you should go in there and see how he is. It's hard when people gang up on you like that.
<Hash=0x9C827E02>	So then the normie says... haha... 'It's not an allergy, I'm a normie!' Hahaha! Isn't that great?
<Hash=0x9C6CB6E1>	Hey, my cousin is a comedian! I think he knows what's funny. Come on guys, anyone? Back me up here... it's funny right?
<Hash=0x2A69C4D4>	Right... OK... So I'm rude and disrespectful... I see.

Excuse me...
<Hash=0x2869C1AE>	What do you want?
<Hash=0x617788CB>	Yeah... I'm fine. I just wanted to share some humor with my friends, but... I guess they didn't like it.
<Hash=0x62778A5E>	Sorry for the jokes? You're probably right. I just wanted to share some humor with my friends, but... I guess they didn't like it.
<Hash=0x2569BCF5>	But I should apologize. I realize now that they told me a few times to stop, but I kept going. I thought they just didn't get it.
<Hash=0x2469BB62>	Thanks <name>. You've helped make sense of it all.
<Hash=0x9A827ADC>	Hah, yeah that's a great one. Oh! There's Clawd, I gotta tell him this one, he's gonna love it!
<Hash=0x97827623>	So like, then the normie goes 'It's not an allergy, I'm an normie!' Hahaha!
